order,species,frozen,tissue,buffer,tissUbuff
Chiroptera,Lonchorhina marinkellei,0,0,0,0
Chiroptera,Lonchorhina orinocensis,0,0,0,0
Chiroptera,Lophostoma brasiliense,2,20,28,44
Chiroptera,Lophostoma carrikeri,4,6,1,6
Chiroptera,Lophostoma evotis,0,3,4,4
Chiroptera,Lophostoma kalkoae,0,0,0,0
Chiroptera,Lophostoma occidentale,0,13,4,13
Chiroptera,Lophostoma schulzi,1,3,0,3
Chiroptera,Lophostoma silvicola,13,87,35,111
Chiroptera,Lyroderma lyra,0,5,13,18
Chiroptera,Macroderma gigas,2,10,60,70
Chiroptera,Macroglossus minimus,189,339,1465,1778
Chiroptera,Macroglossus sobrinus,2,7,31,37
Chiroptera,Macronycteris commersonii,1,32,29,52
Chiroptera,Macronycteris cryptovalorona,0,0,0,0
Chiroptera,Macronycteris gigas,1,1,22,23
Chiroptera,Macronycteris thomensis,0,0,0,0
Chiroptera,Macronycteris vittatus,0,5,13,18
Chiroptera,Macrophyllum macrophyllum,1,7,26,33
Chiroptera,Macrotus californicus,2,31,1133,1161
Chiroptera,Macrotus waterhousii,11,101,643,732
Chiroptera,Megaderma spasma,0,16,106,120
Chiroptera,Megaerops albicollis,0,0,0,0
